order_id,delivery_date,load_weight,distance_km,estimated_time_hours,actual_time_hours,region,weather_condition,delivery_status,carrier
ORD9563,2023-01-25,839.48,233.3,15.0,39.4,East,Rainy,Delivered,Carrier_27
ORD7893,2023-02-18,690.5,357.4,24.1,8.8,East,,Cancelled,Carrier_41
ORD2705,2023-03-27,644.88,,33.8,52.0,North,Snowy,Delivered,Carrier_37
ORD8660,2023-06-08,95.55,,12.6,48.0,North,Snowy,Cancelled,Carrier_30
ORD4570,2023-08-14,944.02,,41.6,58.4,West,Snowy,Delivered,Carrier_16
ORD7531,2023-03-02,987.7,,34.0,20.4,East,,Cancelled,Carrier_11
ORD6389,2023-04-18,89.39,349.0,37.1,31.1,Central,Snowy,Cancelled,Carrier_26
ORD3321,2023-05-30,728.06,378.8,16.4,35.8,Central,,Delayed,Carrier_36
ORD8516,2023-03-22,780.89,261.8,26.7,20.0,East,Sunny,Cancelled,Carrier_34
ORD3198,2023-09-16,,350.2,28.2,45.5,East,,Cancelled,Carrier_38
ORD8374,2023-04-10,306.94,158.0,30.9,5.1,East,Snowy,Cancelled,Carrier_41
ORD1780,2023-12-25,483.41,457.1,47.8,32.5,East,,Delayed,Carrier_22
ORD5455,2023-08-06,233.19,268.6,40.6,37.0,South,,Cancelled,Carrier_32
ORD9661,2023-11-23,768.35,388.9,43.4,19.1,South,Snowy,Cancelled,Carrier_27
ORD5763,2023-11-22,228.45,,46.7,35.6,West,,Cancelled,Carrier_33
ORD2012,2023-10-19,370.41,369.9,1.9,,North,Rainy,Delayed,Carrier_46
ORD2287,2023-02-23,589.02,208.7,10.1,7.3,East,Rainy,Delayed,Carrier_38
ORD4314,2023-07-13,88.81,355.1,44.8,6.6,North,,Delivered,Carrier_24
ORD1390,2023-01-12,956.11,356.9,14.8,59.0,Central,Rainy,Cancelled,Carrier_35
ORD1145,2023-05-21,797.07,177.7,1.5,33.1,North,,Delivered,Carrier_17
ORD3864,2023-01-06,529.38,385.8,1.4,,West,Snowy,Cancelled,Carrier_49
ORD5541,2023-07-19,,,14.7,42.7,South,,Delayed,Carrier_44
ORD9165,2023-02-09,668.55,395.0,26.4,37.9,West,Sunny,Delayed,Carrier_25
ORD3241,2023-06-04,,455.3,36.4,14.6,West,Snowy,Cancelled,Carrier_29
ORD6592,2023-09-13,563.02,66.5,32.0,50.8,South,Sunny,Cancelled,Carrier_23
ORD6034,2023-08-28,532.99,120.1,9.3,23.4,North,,Delivered,Carrier_6
ORD6197,2023-07-27,,84.5,26.3,35.4,South,Rainy,Delivered,Carrier_35
ORD6623,2023-06-23,639.52,,15.5,7.6,North,,Delayed,Carrier_29
ORD1221,2023-04-02,865.01,169.4,9.6,46.2,East,,Cancelled,Carrier_24
ORD8228,2023-11-26,292.34,411.3,14.4,5.5,East,Rainy,Cancelled,Carrier_43
ORD5250,2023-06-18,634.74,,8.5,38.5,South,Rainy,Cancelled,Carrier_44
ORD9083,2023-12-09,496.91,21.9,39.4,7.3,North,Snowy,Delayed,Carrier_4
ORD1152,2023-06-21,865.56,,21.8,8.3,Central,Rainy,Delivered,Carrier_47
ORD7507,2023-10-26,384.99,90.2,20.2,1.3,East,Snowy,Delivered,Carrier_18
ORD5659,2023-02-27,491.64,187.2,23.7,7.0,North,Sunny,Delivered,Carrier_30
ORD3579,2023-09-11,280.59,,17.9,57.3,North,Snowy,Delivered,Carrier_22
ORD5261,2023-05-14,532.26,470.2,29.6,26.6,Central,,Cancelled,Carrier_47
ORD9045,2023-07-22,804.06,489.8,30.9,35.4,North,Sunny,Delayed,Carrier_20
ORD7703,2023-08-01,464.96,270.4,42.5,14.0,East,Sunny,Delayed,Carrier_14
ORD8543,2023-09-11,237.31,411.1,16.4,25.4,East,,Delayed,Carrier_4
ORD7235,2023-05-10,546.44,490.4,34.3,30.9,East,,Cancelled,Carrier_44
ORD1255,2023-05-20,395.0,315.1,32.7,55.1,South,Snowy,Delayed,Carrier_18
ORD8619,2023-06-23,,,46.2,8.5,South,Sunny,Delayed,Carrier_1
ORD8945,2023-11-27,981.12,81.4,2.7,4.5,West,Snowy,Delivered,Carrier_47
ORD2133,2023-04-28,677.73,,44.2,51.6,South,Rainy,Delayed,Carrier_49
ORD2880,2023-04-07,668.73,173.2,38.3,24.4,East,Rainy,Delivered,Carrier_39
ORD2842,2023-11-19,851.88,120.2,29.3,37.8,South,Snowy,Delayed,Carrier_30
ORD9501,2023-01-25,783.5,192.7,41.5,5.4,South,Sunny,Cancelled,Carrier_47
ORD3462,2023-11-12,773.41,274.9,40.7,37.6,South,Sunny,Delayed,Carrier_24
ORD8243,2023-01-17,847.85,,14.2,22.8,North,,Delayed,Carrier_26
ORD8540,2023-12-05,906.62,178.4,16.8,49.1,North,Snowy,Delayed,Carrier_34
ORD8327,2023-07-01,303.75,165.8,11.3,52.0,East,,Cancelled,Carrier_30
ORD9563,2023-03-25,950.3,146.5,17.1,22.1,West,Snowy,Cancelled,Carrier_29
ORD6028,2023-11-18,949.76,490.7,4.9,42.2,Central,,Delayed,Carrier_24
ORD3475,2023-12-29,428.8,205.5,24.1,57.9,West,,Cancelled,Carrier_47
ORD7086,2023-11-12,616.34,321.9,9.4,49.6,West,Rainy,Cancelled,Carrier_1
ORD6546,2023-08-05,972.77,445.8,29.3,6.6,East,Rainy,Delivered,Carrier_2
ORD3527,2023-07-20,495.9,336.6,24.3,46.1,South,Snowy,Delayed,Carrier_23
ORD4576,2023-11-21,381.58,368.3,6.8,26.1,Central,Snowy,Cancelled,Carrier_44
ORD3656,2023-07-09,471.94,359.5,24.9,51.6,West,,Delayed,Carrier_35
ORD5648,2023-04-25,923.98,266.1,13.4,33.3,East,Rainy,Delivered,Carrier_10
ORD3734,2023-12-06,995.34,365.5,25.5,10.0,North,,Delayed,Carrier_47
ORD3776,2023-08-19,895.97,471.2,3.3,28.0,North,Rainy,Cancelled,Carrier_34
ORD9929,2023-09-30,619.54,66.3,42.5,,West,Snowy,Delayed,Carrier_32
ORD1698,2023-09-07,551.73,468.8,45.7,29.7,West,Rainy,Delayed,Carrier_17
ORD7501,2023-01-27,878.0,457.4,43.0,16.1,North,Rainy,Cancelled,Carrier_28
ORD3316,2023-12-04,138.98,326.1,7.4,56.9,South,,Delayed,Carrier_4
ORD6109,2023-12-28,448.63,186.2,26.0,1.3,Central,Snowy,Delivered,Carrier_41
ORD1068,2023-12-04,,82.1,40.7,37.5,Central,Rainy,Cancelled,Carrier_32
ORD5470,2023-10-23,351.22,,18.2,24.4,South,Sunny,Delivered,Carrier_19
ORD4759,2023-12-09,470.1,93.5,7.6,55.2,South,Sunny,Cancelled,Carrier_23
ORD7253,2023-01-02,969.37,46.1,32.9,27.1,South,,Delayed,Carrier_7
ORD7511,2023-11-06,621.33,435.3,48.0,38.8,South,,Delivered,Carrier_37
ORD3314,2023-04-23,709.61,344.2,1.4,9.9,North,Snowy,Delayed,Carrier_7
ORD5444,2023-08-13,,285.8,19.8,54.9,Central,,Delayed,Carrier_9
ORD3847,2023-01-19,567.22,274.9,43.8,4.1,West,,Delivered,Carrier_32
ORD1054,2023-09-14,615.19,120.2,45.7,27.4,East,Snowy,Cancelled,Carrier_22
ORD9526,2023-06-03,984.79,295.7,7.5,31.2,South,Rainy,Delayed,Carrier_42
ORD7356,2023-04-25,274.86,229.0,8.3,53.5,South,,Delayed,Carrier_37
ORD9687,2023-07-12,123.95,,21.9,14.9,West,Snowy,Delivered,Carrier_25
ORD6193,2023-01-26,94.89,339.5,2.7,36.3,East,Sunny,Cancelled,Carrier_36
ORD4786,2023-08-20,822.25,354.3,21.4,59.8,North,Sunny,Cancelled,Carrier_44
ORD7771,2023-01-03,370.63,466.0,17.4,21.6,Central,Sunny,Delivered,Carrier_20
ORD3786,2023-11-04,729.63,76.8,11.5,34.8,East,Rainy,Cancelled,Carrier_8
ORD6216,2023-04-16,900.05,436.6,21.0,52.0,Central,Sunny,Delayed,Carrier_38
ORD6745,2023-04-23,,67.1,32.9,23.3,Central,Snowy,Delayed,Carrier_28
ORD7402,2023-12-03,436.69,66.9,7.1,16.0,South,Rainy,Delivered,Carrier_29
ORD2197,2023-01-07,109.74,22.2,38.7,20.6,West,,Cancelled,Carrier_15
ORD5851,2023-02-18,716.65,109.9,15.8,44.4,East,,Cancelled,Carrier_41
ORD7581,2023-09-13,613.26,290.5,37.8,34.5,West,Sunny,Delivered,Carrier_27
ORD6687,2023-05-15,778.57,267.8,8.5,4.9,South,Sunny,Delayed,Carrier_36
ORD5024,2023-01-03,85.37,432.4,39.6,58.5,North,Rainy,Delivered,Carrier_12
ORD3869,2023-03-29,696.07,110.2,28.8,9.3,West,,Delayed,Carrier_39
ORD1064,2023-07-09,,172.5,5.7,45.8,North,Sunny,Cancelled,Carrier_5
ORD8619,2023-02-12,427.39,399.2,8.7,27.5,South,Snowy,Delayed,Carrier_22
ORD1951,2023-01-02,78.15,417.0,38.1,36.5,Central,Sunny,Delivered,Carrier_5
ORD3055,2023-08-30,411.96,427.3,9.7,39.1,South,Rainy,Delayed,Carrier_13
ORD6896,2023-01-21,686.91,189.5,44.2,23.5,East,Snowy,Cancelled,Carrier_24
ORD9666,2023-06-17,914.63,46.2,3.1,23.6,Central,Rainy,Cancelled,Carrier_33
ORD2065,2023-07-30,784.65,140.4,13.2,36.2,South,,Delivered,Carrier_44
ORD9230,2023-07-09,464.99,132.1,25.4,52.7,North,Sunny,Delivered,Carrier_28
ORD2865,2023-07-31,401.6,435.8,40.2,41.9,Central,Sunny,Cancelled,Carrier_36
ORD1394,2023-05-14,746.79,416.7,17.7,58.8,South,Rainy,Delivered,Carrier_10
ORD1289,2023-08-21,367.41,10.5,30.8,14.1,North,Rainy,Cancelled,Carrier_31
ORD7407,2023-07-04,532.56,347.4,39.4,49.1,East,,Delayed,Carrier_34
ORD9337,2023-09-21,111.48,315.0,6.7,5.0,Central,Sunny,Cancelled,Carrier_6
ORD3333,2023-10-05,441.34,27.2,38.6,17.8,South,Rainy,Delivered,Carrier_48
ORD8132,2023-05-09,,179.4,17.2,49.8,North,,Delayed,Carrier_5
ORD2846,2023-08-25,750.81,430.1,36.6,33.4,North,Sunny,Delayed,Carrier_1
ORD7246,2023-02-06,213.13,215.0,11.9,50.9,West,,Delivered,Carrier_50
ORD2765,2023-08-24,220.1,200.9,29.9,51.2,North,Snowy,Delayed,Carrier_27
ORD1280,2023-12-19,267.62,,36.3,57.3,East,Snowy,Delayed,Carrier_36
ORD1386,2023-01-13,978.93,147.9,37.1,49.4,Central,,Delivered,Carrier_43
ORD9898,2023-06-19,423.89,448.1,24.8,37.8,East,,Delayed,Carrier_33
ORD7293,2023-06-30,,485.9,8.5,59.2,Central,Sunny,Cancelled,Carrier_13
ORD6161,2023-01-05,,23.2,39.9,46.6,Central,Snowy,Delayed,Carrier_19
ORD8259,2023-07-01,687.63,296.4,6.3,30.9,East,Snowy,Cancelled,Carrier_28
ORD5361,2023-06-06,145.86,198.2,39.7,1.7,North,Sunny,Delivered,Carrier_32
ORD5787,2023-12-31,567.26,219.2,43.6,25.3,North,Sunny,Delivered,Carrier_42
ORD1198,2023-07-23,921.16,236.7,39.7,,East,,Delivered,Carrier_28
ORD4487,2023-09-13,852.02,45.3,21.6,,Central,Rainy,Delivered,Carrier_46
ORD4231,2023-06-18,377.84,196.4,18.2,33.5,South,Snowy,Delayed,Carrier_36
ORD7497,2023-12-08,782.04,25.1,7.1,57.6,West,,Cancelled,Carrier_32
ORD2052,2023-02-01,,68.9,5.1,37.9,South,Sunny,Delivered,Carrier_4
ORD8550,2023-02-09,657.9,281.9,11.6,35.5,South,,Delayed,Carrier_11
ORD8750,2023-03-19,101.48,108.6,16.8,46.2,Central,Sunny,Cancelled,Carrier_18
ORD4935,2023-05-08,222.98,460.5,46.6,14.9,West,Snowy,Delivered,Carrier_28
ORD2878,2023-01-12,520.16,405.4,32.5,58.1,Central,Snowy,Delivered,Carrier_26
ORD4981,2023-08-10,146.58,402.0,25.5,42.3,West,Rainy,Delivered,Carrier_50
ORD4782,2023-08-11,411.75,455.5,34.8,53.4,North,Rainy,Cancelled,Carrier_27
ORD5222,2023-07-15,530.75,342.3,13.8,39.6,East,Rainy,Delayed,Carrier_35
ORD1472,2023-08-06,300.55,,4.4,15.1,East,Snowy,Cancelled,Carrier_30
ORD1058,2023-09-25,,213.2,9.1,27.2,East,Snowy,Delayed,Carrier_37
ORD2872,2023-02-23,580.69,177.2,12.7,,West,Rainy,Delayed,Carrier_37
ORD2805,2023-04-05,103.84,219.5,34.0,28.1,West,Sunny,Delivered,Carrier_25
ORD4008,2023-11-04,463.27,,26.6,11.0,North,Rainy,Delivered,Carrier_37
ORD7058,2023-02-09,497.8,406.3,23.8,42.5,North,Sunny,Delivered,Carrier_6
ORD6505,2023-02-17,761.66,130.5,44.5,39.0,West,,Cancelled,Carrier_30
ORD9387,2023-11-27,136.5,189.6,42.7,20.8,East,Snowy,Cancelled,Carrier_18
ORD8258,2023-10-17,728.19,232.2,10.5,58.4,West,Rainy,Delivered,Carrier_19
ORD1405,2023-06-29,847.56,165.1,20.4,17.0,East,Rainy,Delayed,Carrier_37
ORD5570,2023-05-02,755.66,308.2,7.9,34.3,North,Snowy,Delivered,Carrier_24
ORD9165,2023-11-24,,407.5,42.7,31.3,Central,Sunny,Delivered,Carrier_30
ORD2494,2023-03-02,288.69,468.6,19.9,10.9,North,,Delayed,Carrier_4
ORD5925,2023-09-22,477.77,26.9,33.0,52.5,North,,Cancelled,Carrier_36
ORD8546,2023-04-21,444.51,484.0,31.9,10.8,Central,,Delivered,Carrier_35
ORD7879,2023-12-21,457.91,400.7,30.6,45.5,East,Rainy,Delivered,Carrier_38
ORD7469,2023-06-15,92.61,433.1,34.6,56.7,West,Snowy,Cancelled,Carrier_27
ORD1102,2023-10-10,501.18,186.8,26.9,28.7,Central,Sunny,Delivered,Carrier_12
ORD4388,2023-05-03,191.03,71.4,19.0,11.6,East,Rainy,Delivered,Carrier_13
ORD3512,2023-04-09,447.21,170.6,44.1,28.9,East,Sunny,Delayed,Carrier_38
ORD2249,2023-08-28,197.47,482.3,38.2,2.6,Central,Sunny,Delayed,Carrier_15
ORD6277,2023-12-06,653.06,285.9,2.9,41.7,Central,Snowy,Cancelled,Carrier_11
ORD4165,2023-04-25,195.55,339.4,24.1,18.1,East,Sunny,Cancelled,Carrier_31
ORD5715,2023-11-08,758.18,79.4,2.1,9.2,South,Rainy,Delivered,Carrier_50
ORD6016,2023-02-07,,295.5,2.3,3.6,West,,Delivered,Carrier_25
ORD7402,2023-12-19,736.86,465.5,21.9,22.1,West,Rainy,Delayed,Carrier_41
ORD5774,2023-09-30,655.28,,12.1,,West,Rainy,Delivered,Carrier_21
ORD7608,2023-03-03,451.94,77.0,32.3,12.5,West,Sunny,Cancelled,Carrier_8
ORD1157,2023-12-12,866.32,404.2,15.6,26.2,Central,Sunny,Delayed,Carrier_11
ORD2088,2023-02-27,682.87,154.7,39.0,44.5,Central,Snowy,Delivered,Carrier_19
ORD5663,2023-02-20,931.22,356.6,27.4,14.0,East,Snowy,Cancelled,Carrier_25
ORD7122,2023-07-15,138.3,177.3,19.6,28.1,East,,Delivered,Carrier_31
ORD8881,2023-03-19,521.32,445.2,8.6,48.6,North,Rainy,Cancelled,Carrier_48
ORD5126,2023-02-23,857.3,,20.2,7.1,West,Rainy,Cancelled,Carrier_10
ORD2450,2023-08-08,890.23,235.4,6.8,29.1,South,Rainy,Delayed,Carrier_13
ORD2159,2023-04-24,71.75,,24.5,6.6,North,Rainy,Delivered,Carrier_15
ORD9166,2023-05-30,547.01,129.5,30.9,3.1,East,Sunny,Cancelled,Carrier_49
ORD6322,2023-09-05,265.87,137.6,29.4,29.6,South,Snowy,Delayed,Carrier_27
ORD3700,2023-02-21,876.87,227.5,12.4,,East,Snowy,Delayed,Carrier_18
ORD2747,2023-12-09,531.63,,14.2,4.6,East,Snowy,Cancelled,Carrier_12
ORD9855,2023-08-01,953.05,231.4,5.3,30.9,West,,Cancelled,Carrier_43
ORD6740,2023-10-17,,359.2,15.7,,Central,Snowy,Delayed,Carrier_19
ORD5858,2023-08-13,427.84,423.2,11.2,3.8,South,Sunny,Delivered,Carrier_22
ORD8048,2023-10-25,879.8,480.5,29.8,55.1,South,Sunny,Delayed,Carrier_45
ORD2537,2023-10-31,991.83,303.8,34.0,50.6,North,Rainy,Delayed,Carrier_19
ORD5014,2023-05-26,176.63,40.5,4.5,15.7,North,,Cancelled,Carrier_22
ORD1932,2023-10-23,166.41,454.4,46.3,58.0,Central,Rainy,Delivered,Carrier_22
ORD7671,2023-11-04,115.14,147.9,17.2,,East,Sunny,Delayed,Carrier_38
ORD4657,2023-05-12,678.44,20.4,4.7,42.6,Central,Snowy,Delivered,Carrier_25
ORD7019,2023-09-27,434.9,253.4,8.7,45.7,South,Snowy,Cancelled,Carrier_27
ORD8900,2023-08-09,359.97,399.1,7.3,26.4,North,Snowy,Delayed,Carrier_36
ORD4511,2023-02-11,771.63,372.5,29.7,27.2,East,,Delayed,Carrier_31
ORD6938,2023-04-19,868.18,273.5,13.0,48.1,Central,Snowy,Cancelled,Carrier_14
ORD8233,2023-01-04,826.1,238.4,22.1,39.0,West,Rainy,Cancelled,Carrier_37
ORD7045,2023-12-30,248.45,306.9,21.0,31.0,West,,Delivered,Carrier_23
ORD2769,2023-06-24,418.7,350.7,33.4,13.8,Central,Rainy,Delivered,Carrier_26
ORD8529,2023-05-08,622.15,170.2,45.9,49.1,West,Rainy,Cancelled,Carrier_26
ORD4362,2023-04-09,464.21,231.4,33.4,7.1,North,,Delayed,Carrier_46
ORD1943,2023-12-17,826.31,475.8,35.2,46.5,Central,Rainy,Delivered,Carrier_44
ORD5095,2023-11-14,515.42,320.5,40.2,3.6,West,Sunny,Delayed,Carrier_42
ORD9313,2023-09-07,138.28,248.9,36.9,3.9,East,Sunny,Delivered,Carrier_45
ORD8309,2023-10-15,746.29,366.9,42.5,50.7,East,Rainy,Delivered,Carrier_24
ORD1685,2023-02-02,883.98,376.8,34.0,17.1,North,Snowy,Cancelled,Carrier_45
ORD2199,2023-07-10,655.14,309.8,42.0,50.5,East,Rainy,Delivered,Carrier_19
ORD1581,2023-08-17,136.5,176.5,4.7,58.4,Central,Rainy,Delayed,Carrier_19
ORD2497,2023-01-10,727.02,338.4,7.2,12.9,South,Sunny,Cancelled,Carrier_11
ORD1809,2023-03-17,623.87,253.8,46.4,14.4,West,Snowy,Cancelled,Carrier_6
ORD5554,2023-11-24,606.38,205.3,36.7,34.8,North,Snowy,Delivered,Carrier_33
ORD5884,2023-11-10,569.69,467.4,46.5,44.4,East,Rainy,Cancelled,Carrier_21
ORD4074,2023-06-10,,99.8,24.1,49.1,South,Rainy,Delayed,Carrier_47
ORD9529,2023-05-18,333.44,122.7,44.5,54.8,South,Snowy,Delayed,Carrier_16
ORD5327,2023-10-18,721.75,,30.9,18.6,South,Sunny,Cancelled,Carrier_48
ORD2525,2023-12-10,503.36,111.9,47.9,49.1,Central,Snowy,Delivered,Carrier_1
ORD9626,2023-10-15,740.11,311.9,31.2,,South,,Cancelled,Carrier_29
ORD9916,2023-03-03,733.56,218.9,3.1,53.9,East,Rainy,Cancelled,Carrier_45
ORD6370,2023-04-16,271.07,239.8,42.0,33.5,North,Snowy,Delivered,Carrier_33
ORD6836,2023-04-22,,92.9,34.1,25.9,West,Sunny,Delivered,Carrier_20
ORD8448,2023-07-13,56.24,143.9,37.7,2.6,South,Snowy,Delayed,Carrier_33
ORD7907,2023-02-14,896.72,413.7,25.8,30.1,South,,Cancelled,Carrier_11
ORD6078,2023-01-13,907.28,237.8,27.8,27.1,North,Rainy,Cancelled,Carrier_34
ORD2743,2023-11-15,731.16,377.2,27.1,1.5,West,Snowy,Delayed,Carrier_2
ORD2419,2023-12-27,770.54,433.2,38.6,10.1,West,Sunny,Delivered,Carrier_42
ORD2243,2023-10-27,,348.4,18.1,33.1,East,Rainy,Delivered,Carrier_49
ORD7728,2023-08-30,516.84,319.5,30.7,47.7,North,,Delivered,Carrier_3
ORD1434,2023-05-10,693.63,443.2,4.1,37.2,North,Sunny,Cancelled,Carrier_28
ORD6029,2023-02-04,253.4,282.7,43.7,52.7,North,Rainy,Cancelled,Carrier_19
ORD6510,2023-11-18,346.13,475.9,33.6,7.3,North,Rainy,Cancelled,Carrier_41
ORD1879,2023-08-20,189.74,46.6,25.5,7.9,South,Sunny,Cancelled,Carrier_3
ORD4315,2023-10-18,808.83,29.0,41.1,35.3,South,Sunny,Cancelled,Carrier_7
ORD4562,2023-05-12,383.14,47.4,37.8,15.5,East,Rainy,Cancelled,Carrier_16
ORD7584,2023-01-28,115.7,488.8,29.2,46.5,West,,Delivered,Carrier_40
ORD5864,2023-04-12,353.51,352.9,40.1,20.5,Central,Rainy,Delivered,Carrier_41
ORD1332,2023-08-12,440.84,211.8,12.7,40.1,North,Rainy,Delayed,Carrier_34
ORD5650,2023-05-14,157.07,137.2,2.8,,West,Snowy,Cancelled,Carrier_24
ORD8966,2023-05-16,,159.0,16.7,53.1,West,,Delayed,Carrier_2
ORD9703,2023-09-14,679.28,269.4,47.3,41.9,Central,Snowy,Delayed,Carrier_2
ORD7465,2023-06-30,144.58,426.1,33.4,49.5,West,Rainy,Delivered,Carrier_15
ORD6326,2023-07-22,,322.4,45.7,22.8,Central,Sunny,Delayed,Carrier_44
ORD9852,2023-06-18,691.17,180.4,46.3,56.7,West,Sunny,Cancelled,Carrier_7
ORD3927,2023-08-22,967.22,,7.2,25.6,East,Snowy,Delayed,Carrier_39
ORD2196,2023-12-26,387.14,313.7,43.7,42.8,East,Sunny,Delivered,Carrier_17
ORD8116,2023-10-31,850.31,45.5,10.9,4.5,West,Snowy,Delayed,Carrier_1
ORD7386,2023-01-03,257.41,285.6,30.1,51.8,North,Sunny,Delayed,Carrier_48
ORD5474,2023-06-19,403.82,360.0,30.9,4.6,East,,Cancelled,Carrier_23
ORD7613,2023-03-26,160.1,454.8,34.5,32.2,South,Snowy,Delivered,Carrier_49
ORD8931,2023-04-20,417.54,164.1,12.0,31.7,West,Sunny,Delivered,Carrier_47
ORD6282,2023-12-03,881.32,221.7,28.4,27.7,North,Rainy,Delayed,Carrier_47
ORD9703,2023-12-31,591.01,261.2,17.4,,South,,Delivered,Carrier_20
ORD8825,2023-08-22,379.12,132.8,34.6,8.2,Central,Sunny,Cancelled,Carrier_47
ORD4524,2023-04-16,774.61,234.1,7.6,38.4,South,Rainy,Delivered,Carrier_38
ORD5999,2023-09-26,918.28,243.7,9.1,57.9,South,,Delayed,Carrier_40
ORD9390,2023-09-19,384.7,286.7,11.6,41.4,South,,Delayed,Carrier_9
ORD8261,2023-06-13,914.67,494.3,43.3,4.5,West,Rainy,Cancelled,Carrier_26
ORD6509,2023-07-02,,438.6,13.0,2.5,South,Sunny,Delayed,Carrier_32
ORD8590,2023-07-22,206.27,480.7,45.1,35.5,East,Rainy,Cancelled,Carrier_23
ORD7772,2023-02-10,605.85,134.2,27.0,39.2,North,Rainy,Delivered,Carrier_34
ORD8175,2023-03-17,275.93,399.1,8.8,8.0,East,Sunny,Cancelled,Carrier_25
ORD8106,2023-12-05,679.91,252.5,8.3,8.0,West,Rainy,Cancelled,Carrier_48
ORD8574,2023-12-20,328.08,280.5,33.7,28.8,West,Snowy,Cancelled,Carrier_3
ORD6207,2023-03-08,146.16,398.1,38.2,7.2,North,Snowy,Delayed,Carrier_24
ORD3940,2023-07-14,488.43,109.2,30.3,34.9,North,,Cancelled,Carrier_49
ORD8360,2023-11-12,226.04,254.6,38.4,25.0,South,Rainy,Delivered,Carrier_36
ORD7109,2023-09-19,78.5,401.1,43.8,3.5,East,Rainy,Delayed,Carrier_5
ORD5379,2023-06-15,144.65,491.6,37.6,7.0,South,Snowy,Delayed,Carrier_29
ORD8223,2023-05-03,767.27,111.5,27.9,15.7,East,Rainy,Delivered,Carrier_22
ORD8825,2023-11-15,760.17,11.7,17.9,40.9,East,Rainy,Delivered,Carrier_46
ORD6116,2023-12-12,762.53,454.9,21.8,47.5,North,,Delivered,Carrier_6
