Transaction_ID,Store_ID,Category,Transaction_Amount,Quantity,Date,Customer_Age,Payment_Method
33,42,Groceries,182.84,2,2023-03-06,25,Online Payment
34,92,Groceries,327.1,3,2023-10-22,43,Cash
35,60,Home Goods,124.19,4,2023-12-20,48,Credit Card
36,80,Electronics,139.97,9,2023-03-27,44,Credit Card
37,15,Electronics,163.93,5,2023-07-08,65,Online Payment
38,62,Clothing,400.54,6,2023-06-02,55,Online Payment
39,62,Electronics,113.24,3,2023-11-17,18,Debit Card
40,47,Books,285.76,2,2023-07-20,50,Debit Card
41,62,Groceries,108.23,2,2023-11-26,34,Cash
42,51,Clothing,149.67,6,2023-03-07,49,Cash
43,55,Books,125.39,6,2023-03-09,58,Debit Card
44,64,Groceries,326.05,7,2023-06-20,58,Credit Card
45,3,Books,268.1,9,2023-08-23,54,Debit Card
46,51,Sports,363.44,3,2023-01-18,38,Debit Card
47,7,Home Goods,117.77,7,2023-01-18,38,Cash
48,21,Sports,14.48,7,2023-05-09,45,Online Payment
49,73,Home Goods,343.45,8,2023-03-19,23,Cash
50,39,Groceries,66.28,5,2023-03-14,53,Online Payment
51,18,Groceries,130.69,3,2023-07-11,22,Credit Card
52,4,Sports,159.79,2,2023-08-25,57,Debit Card
53,89,Books,375.93,4,2023-02-08,52,Credit Card
54,60,Home Goods,316.69,8,2023-04-27,51,Debit Card
55,14,Home Goods,100.29,5,2023-02-06,26,Credit Card
56,9,Clothing,302.97,1,2023-10-19,52,Online Payment
57,90,Electronics,356.99,3,2023-05-10,27,Debit Card
58,53,Books,200.56,5,2023-05-25,46,Debit Card
59,2,Books,130.52,6,2023-04-17,65,Credit Card
60,84,Clothing,342.7,2,2023-11-18,31,Online Payment
61,92,Groceries,309.34,8,2023-07-23,23,Credit Card
62,60,Sports,48.18,7,2023-07-01,69,Online Payment
63,71,Books,336.67,7,2023-07-21,39,Credit Card
64,44,Home Goods,249.37,7,2023-06-18,33,Cash
65,8,Clothing,379.15,5,2023-08-07,36,Online Payment
66,47,Sports,103.45,2,2023-09-17,58,Cash
67,35,Sports,136.53,8,2023-05-23,28,Credit Card
68,78,Books,276.22,3,2023-09-26,47,Online Payment
69,81,Electronics,246.05,3,2023-12-06,22,Credit Card
70,36,Home Goods,199.32,2,2023-05-03,65,Debit Card
71,50,Sports,375.56,2,2023-11-21,53,Cash
72,4,Home Goods,286.73,2,2023-04-01,24,Online Payment
73,2,Books,358.03,6,2023-12-19,30,Cash
74,6,Clothing,85.09,8,2023-08-28,32,Credit Card
75,54,Sports,367.2,3,2023-10-08,21,Credit Card
76,4,Books,236.15,6,2023-08-11,52,Online Payment
77,54,Sports,26.55,3,2023-06-27,67,Cash
78,93,Clothing,124.9,9,2023-09-05,22,Debit Card
79,63,Home Goods,22.62,1,2023-02-13,30,Online Payment
80,18,Home Goods,233.87,7,2023-06-16,50,Debit Card
81,90,Sports,169.68,8,2023-07-03,37,Cash
82,44,Books,493.85,9,2023-05-16,68,Online Payment
83,34,Clothing,435.57,5,2023-05-22,64,Credit Card
84,74,Groceries,414.58,6,2023-12-14,25,Credit Card
85,62,Home Goods,255.55,5,2023-05-03,64,Cash
86,100,Groceries,405.47,5,2023-10-13,34,Debit Card
87,14,Sports,140.77,7,2023-10-05,22,Cash
88,95,Groceries,284.72,4,2023-01-15,48,Cash
89,48,Books,202.53,6,2023-06-11,25,Online Payment
90,15,Books,93.96,4,2023-12-06,19,Online Payment
91,72,Groceries,45.58,2,2023-12-19,18,Cash
92,78,Books,283.53,2,2023-04-20,43,Debit Card
93,87,Home Goods,57.84,4,2023-07-27,24,Cash
94,62,Sports,361.82,5,2023-04-14,29,Cash
95,40,Groceries,461.52,1,2023-03-27,31,Cash
96,85,Home Goods,89.43,3,2023-11-06,40,Credit Card
97,80,Groceries,240.76,5,2023-10-14,42,Cash
98,82,Home Goods,372.0,8,2023-12-03,42,Credit Card
99,53,Books,150.55,4,2023-07-02,32,Debit Card
100,24,Books,461.17,6,2023-09-28,53,Debit Card
101,26,Sports,445.35,4,2023-09-07,57,Debit Card
102,89,Books,60.84,5,2023-04-27,39,Cash
103,60,Clothing,23.43,7,2023-08-14,28,Credit Card
104,41,Home Goods,488.46,8,2023-10-27,43,Cash
105,29,Home Goods,478.67,8,2023-09-03,69,Debit Card
106,15,Groceries,216.92,7,2023-08-05,42,Online Payment
107,45,Sports,34.78,4,2023-03-09,58,Online Payment
108,65,Electronics,313.25,4,2023-05-26,41,Cash
109,89,Books,153.77,2,2023-10-02,37,Online Payment
110,71,Electronics,468.99,9,2023-01-14,23,Debit Card
111,9,Clothing,399.38,6,2023-04-27,42,Credit Card
112,88,Sports,328.3,3,2023-02-08,32,Online Payment
113,1,Home Goods,149.41,3,2023-01-28,69,Credit Card
114,8,Electronics,353.62,1,2023-12-07,31,Online Payment
115,88,Clothing,151.69,2,2023-10-08,42,Cash
116,63,Sports,28.44,5,2023-05-10,22,Credit Card
117,11,Clothing,259.13,9,2023-03-13,50,Debit Card
118,81,Books,249.46,3,2023-06-05,34,Debit Card
119,8,Electronics,383.87,7,2023-04-14,65,Debit Card
120,35,Groceries,434.18,6,2023-05-02,50,Online Payment
121,35,Groceries,183.69,3,2023-06-19,38,Debit Card
122,33,Sports,230.24,4,2023-08-24,48,Debit Card
123,5,Clothing,240.5,5,2023-10-01,28,Online Payment
124,41,Home Goods,168.87,2,2023-07-13,43,Credit Card
125,28,Electronics,374.26,8,2023-11-12,50,Cash
126,7,Groceries,265.83,7,2023-06-14,59,Debit Card
127,73,Groceries,457.84,9,2023-04-02,30,Debit Card
128,72,Clothing,328.65,8,2023-09-03,47,Debit Card
129,12,Groceries,113.83,7,2023-01-28,58,Cash
130,34,Clothing,90.76,9,2023-04-24,50,Cash
131,33,Electronics,192.47,5,2023-01-22,40,Cash
132,48,Clothing,179.99,3,2023-11-11,27,Credit Card
133,23,Groceries,209.49,6,2023-03-13,23,Online Payment
134,62,Clothing,99.96,9,2023-10-01,51,Debit Card
135,88,Groceries,489.33,6,2023-01-11,55,Online Payment
136,37,Books,81.4,3,2023-08-20,47,Online Payment
137,99,Sports,329.8,2,2023-11-14,50,Debit Card
138,44,Groceries,16.4,5,2023-07-05,63,Debit Card
139,86,Groceries,209.41,8,2023-11-20,38,Online Payment
140,91,Groceries,161.5,8,2023-11-01,24,Credit Card
141,35,Sports,197.19,1,2023-01-16,59,Debit Card
142,65,Books,254.06,3,2023-05-12,27,Debit Card
143,99,Home Goods,304.18,5,2023-07-14,67,Debit Card
144,47,Groceries,295.92,1,2023-06-23,24,Cash
145,78,Home Goods,319.05,6,2023-05-28,26,Online Payment
146,3,Electronics,423.83,4,2023-09-24,23,Credit Card
147,1,Books,444.49,9,2023-07-23,21,Credit Card
148,5,Clothing,371.25,2,2023-01-04,48,Debit Card
149,90,Home Goods,48.68,5,2023-02-08,67,Debit Card
150,14,Books,481.03,5,2023-08-06,43,Cash
151,27,Electronics,474.23,6,2023-10-14,26,Debit Card
152,9,Books,358.73,5,2023-07-13,18,Debit Card
153,79,Clothing,263.55,9,2023-01-08,55,Online Payment
154,15,Groceries,132.8,1,2023-09-27,30,Online Payment
155,90,Groceries,380.61,8,2023-05-08,47,Cash
156,42,Groceries,440.15,6,2023-12-07,38,Credit Card
157,77,Sports,335.94,9,2023-10-04,21,Debit Card
158,51,Sports,318.25,7,2023-09-17,25,Debit Card
159,63,Sports,104.57,3,2023-07-04,33,Credit Card
160,96,Sports,185.32,8,2023-11-20,26,Cash
161,52,Electronics,364.34,3,2023-11-10,62,Online Payment
162,96,Books,18.28,3,2023-12-01,31,Debit Card
163,4,Electronics,324.22,4,2023-10-07,26,Credit Card
164,94,Groceries,385.67,3,2023-04-03,49,Credit Card
165,23,Clothing,174.01,6,2023-09-15,53,Cash
166,15,Sports,47.32,7,2023-10-06,45,Debit Card
167,43,Books,411.37,3,2023-07-20,33,Online Payment
168,29,Clothing,79.5,3,2023-01-15,29,Credit Card
169,36,Electronics,191.69,7,2023-04-15,49,Cash
170,13,Sports,356.55,9,2023-05-11,64,Credit Card
171,32,Electronics,410.32,3,2023-10-11,69,Online Payment
172,71,Electronics,432.57,6,2023-07-21,34,Online Payment
173,59,Home Goods,269.9,5,2023-11-11,27,Credit Card
174,86,Books,243.18,8,2023-03-13,67,Debit Card
175,28,Electronics,425.68,9,2023-07-09,60,Credit Card
176,66,Groceries,285.91,8,2023-01-02,22,Credit Card
177,42,Electronics,293.54,1,2023-06-22,46,Cash
178,45,Sports,222.65,7,2023-04-26,42,Online Payment
179,62,Groceries,192.68,8,2023-10-17,54,Credit Card
180,57,Electronics,245.47,5,2023-07-24,44,Debit Card
181,6,Groceries,188.78,4,2023-02-07,60,Credit Card
182,28,Electronics,178.34,7,2023-04-14,25,Debit Card
183,28,Books,496.9,6,2023-09-05,62,Debit Card
184,44,Groceries,174.74,2,2023-11-20,39,Online Payment
185,84,Clothing,135.63,9,2023-09-10,50,Debit Card
186,30,Home Goods,183.42,3,2023-05-23,25,Credit Card
187,62,Groceries,299.48,1,2023-11-15,24,Credit Card
188,75,Sports,456.39,3,2023-08-11,48,Cash
189,92,Home Goods,396.05,1,2023-09-19,18,Debit Card
190,89,Home Goods,422.7,7,2023-04-14,67,Online Payment
191,62,Electronics,430.91,6,2023-10-08,54,Debit Card
192,97,Groceries,461.06,8,2023-03-28,66,Cash
193,1,Books,125.18,4,2023-01-19,61,Cash
194,27,Home Goods,234.6,6,2023-05-09,63,Cash
195,62,Sports,198.75,3,2023-11-07,20,Debit Card
196,77,Books,197.12,4,2023-08-15,45,Online Payment
197,3,Books,329.62,6,2023-09-23,68,Cash
198,70,Sports,206.88,5,2023-02-15,27,Cash
199,72,Sports,312.0,2,2023-03-08,51,Debit Card
200,27,Electronics,197.32,9,2023-10-02,39,Cash
201,9,Clothing,162.45,2,2023-10-06,22,Online Payment
202,62,Groceries,183.01,8,2023-10-26,50,Cash
203,37,Home Goods,403.84,5,2023-04-04,66,Cash
204,97,Groceries,304.52,7,2023-12-24,38,Online Payment
205,51,Books,487.26,6,2023-10-26,52,Online Payment
206,44,Home Goods,418.0,2,2023-09-08,49,Debit Card
207,24,Electronics,248.03,4,2023-08-16,40,Credit Card
208,79,Groceries,128.76,9,2023-12-15,41,Online Payment
209,59,Electronics,340.22,7,2023-10-19,69,Debit Card
210,32,Electronics,366.06,1,2023-02-15,40,Online Payment
211,96,Groceries,237.45,4,2023-10-18,51,Cash
212,88,Groceries,122.66,3,2023-03-18,51,Credit Card
213,52,Home Goods,283.05,1,2023-05-15,18,Cash
214,62,Books,134.38,5,2023-01-20,42,Credit Card
215,58,Books,470.6,9,2023-01-23,50,Credit Card
216,52,Sports,318.15,4,2023-12-02,48,Online Payment
217,12,Electronics,153.05,2,2023-04-19,65,Debit Card
218,39,Books,115.71,7,2023-03-06,30,Cash
219,2,Clothing,361.19,8,2023-03-06,46,Online Payment
220,3,Home Goods,356.82,2,2023-12-22,38,Cash
221,56,Home Goods,302.59,9,2023-12-09,32,Debit Card
222,81,Sports,311.01,8,2023-02-25,38,Cash
223,59,Sports,305.9,4,2023-05-19,68,Cash
224,2,Electronics,186.45,4,2023-05-12,51,Credit Card
225,2,Home Goods,469.33,5,2023-01-20,21,Debit Card
226,92,Home Goods,244.85,1,2023-01-25,60,Online Payment
227,54,Clothing,19.96,7,2023-01-28,59,Cash
228,87,Electronics,180.7,4,2023-01-16,67,Cash
229,96,Electronics,73.84,1,2023-06-28,60,Online Payment
230,97,Books,188.06,4,2023-10-25,24,Debit Card
231,1,Sports,308.05,4,2023-03-15,47,Credit Card
232,19,Books,21.11,1,2023-12-24,62,Debit Card
233,2,Electronics,436.4,9,2023-09-03,52,Credit Card
234,53,Clothing,309.05,8,2023-08-14,35,Online Payment
235,44,Electronics,154.73,9,2023-06-20,52,Online Payment
236,90,Books,162.49,7,2023-09-27,48,Credit Card
237,32,Groceries,238.18,5,2023-04-13,18,Debit Card
238,70,Groceries,131.56,7,2023-09-01,65,Credit Card
239,32,Clothing,12.13,2,2023-10-22,56,Debit Card
240,68,Sports,23.01,7,2023-08-18,28,Debit Card
241,55,Home Goods,185.29,4,2023-05-22,22,Debit Card
242,75,Electronics,70.87,5,2023-07-19,52,Cash
243,56,Books,20.96,7,2023-10-10,44,Credit Card
244,17,Sports,431.04,2,2023-10-19,19,Credit Card
245,38,Books,144.33,5,2023-04-18,66,Credit Card
246,24,Sports,256.53,2,2023-09-24,47,Cash
247,69,Electronics,97.91,6,2023-11-06,28,Credit Card
248,98,Home Goods,32.9,8,2023-08-25,66,Online Payment
249,70,Electronics,374.98,7,2023-03-28,64,Debit Card
250,86,Home Goods,71.23,5,2023-04-21,39,Cash
251,11,Books,22.6,3,2023-08-16,36,Credit Card
252,16,Clothing,297.74,4,2023-10-12,36,Online Payment
253,97,Home Goods,16.6,2,2023-07-10,23,Cash
254,73,Sports,223.78,6,2023-06-05,58,Debit Card
255,59,Clothing,151.53,8,2023-12-05,46,Cash
256,70,Books,166.51,8,2023-04-12,49,Credit Card
257,80,Groceries,11.91,9,2023-01-27,54,Debit Card
258,93,Clothing,482.53,5,2023-03-02,58,Cash
259,3,Home Goods,263.31,6,2023-04-17,54,Debit Card
260,20,Clothing,290.53,2,2023-07-07,68,Online Payment
261,59,Books,336.4,4,2023-03-01,39,Credit Card
262,36,Clothing,400.79,3,2023-11-26,24,Cash
263,19,Books,307.88,9,2023-06-19,46,Credit Card
264,90,Groceries,383.48,6,2023-11-05,57,Credit Card
265,67,Home Goods,229.88,6,2023-08-27,57,Cash
266,19,Sports,191.92,4,2023-10-28,44,Online Payment
267,20,Clothing,413.34,6,2023-07-23,27,Credit Card
268,96,Electronics,434.0,1,2023-12-16,21,Credit Card
269,71,Sports,77.53,9,2023-03-21,60,Cash
270,52,Clothing,275.9,3,2023-10-12,60,Cash
271,33,Sports,344.98,5,2023-10-17,62,Credit Card
272,40,Electronics,50.96,7,2023-05-17,37,Credit Card
273,39,Sports,465.5,2,2023-09-26,61,Debit Card
274,82,Sports,264.85,4,2023-07-23,43,Cash
275,1,Electronics,326.27,6,2023-01-27,25,Credit Card
276,11,Electronics,97.34,1,2023-07-01,63,Debit Card
277,92,Electronics,139.57,6,2023-01-27,62,Cash
278,57,Groceries,69.29,5,2023-02-18,62,Debit Card
279,89,Books,139.36,2,2023-12-16,53,Online Payment
280,50,Books,251.27,6,2023-09-13,55,Debit Card
281,23,Electronics,418.48,5,2023-07-19,23,Debit Card
282,31,Books,271.52,1,2023-08-07,47,Cash
283,94,Sports,129.79,6,2023-03-06,49,Debit Card
284,42,Electronics,31.86,7,2023-10-08,27,Online Payment
285,99,Clothing,314.77,9,2023-03-03,52,Online Payment
286,7,Electronics,215.88,2,2023-02-04,59,Debit Card
287,16,Electronics,492.33,6,2023-12-28,44,Debit Card
288,90,Books,392.08,6,2023-04-08,42,Cash
289,60,Home Goods,406.1,1,2023-03-10,67,Cash
290,2,Sports,16.0,8,2023-11-11,46,Online Payment
291,1,Books,391.12,5,2023-10-12,31,Debit Card
292,48,Sports,105.36,2,2023-03-01,54,Debit Card
293,12,Clothing,297.04,5,2023-06-24,24,Online Payment
294,69,Groceries,229.24,4,2023-06-13,64,Online Payment
295,37,Home Goods,290.09,7,2023-07-23,53,Debit Card
296,32,Clothing,75.39,8,2023-09-18,21,Online Payment
297,9,Clothing,233.88,1,2023-03-08,62,Cash
298,99,Sports,28.1,1,2023-08-22,67,Credit Card
299,19,Home Goods,30.09,8,2023-06-25,23,Credit Card
300,48,Sports,332.29,4,2023-04-01,66,Online Payment
301,80,Groceries,476.33,8,2023-06-12,37,Online Payment
302,3,Sports,390.92,7,2023-07-26,63,Credit Card
303,20,Electronics,239.89,9,2023-08-22,44,Online Payment
304,24,Sports,37.38,7,2023-08-05,55,Online Payment
305,54,Electronics,32.06,4,2023-02-20,24,Cash
306,33,Clothing,87.37,5,2023-09-21,40,Credit Card
307,24,Groceries,488.15,7,2023-11-15,58,Online Payment
308,75,Books,205.34,2,2023-09-25,33,Debit Card
309,72,Electronics,423.27,3,2023-04-16,18,Debit Card
310,36,Groceries,355.52,3,2023-07-23,48,Credit Card
311,38,Sports,306.66,9,2023-08-28,61,Cash
312,84,Books,474.43,2,2023-03-01,36,Debit Card
313,99,Sports,122.9,4,2023-12-20,48,Debit Card
314,89,Clothing,232.9,8,2023-01-03,53,Debit Card
315,99,Sports,433.71,1,2023-05-20,44,Online Payment
316,25,Electronics,280.36,9,2023-10-03,31,Online Payment
317,93,Clothing,130.76,6,2023-04-05,53,Credit Card
318,18,Groceries,112.37,4,2023-07-09,46,Online Payment
319,82,Clothing,378.91,5,2023-04-07,60,Online Payment
320,66,Groceries,16.27,7,2023-01-23,41,Debit Card
321,54,Home Goods,457.95,8,2023-09-15,47,Debit Card
322,35,Electronics,19.02,5,2023-01-26,51,Cash
323,80,Electronics,319.18,7,2023-08-11,51,Debit Card
324,61,Groceries,306.33,3,2023-05-03,24,Credit Card
325,41,Sports,293.42,2,2023-11-02,58,Cash
326,100,Books,242.43,2,2023-08-07,59,Credit Card
327,33,Sports,427.69,3,2023-12-25,60,Credit Card
328,68,Home Goods,333.07,6,2023-02-16,49,Online Payment
329,33,Groceries,393.11,1,2023-01-01,52,Credit Card
330,14,Home Goods,66.61,3,2023-06-24,19,Debit Card
331,21,Groceries,34.45,3,2023-10-26,56,Debit Card
332,48,Home Goods,23.98,2,2023-04-16,48,Online Payment
333,20,Groceries,82.13,1,2023-05-05,55,Online Payment
334,8,Electronics,336.83,1,2023-08-27,43,Online Payment
335,7,Home Goods,252.07,1,2023-12-09,33,Debit Card
336,67,Home Goods,378.6,8,2023-12-05,54,Online Payment
337,17,Groceries,103.95,6,2023-06-09,57,Debit Card
338,33,Clothing,189.81,9,2023-12-15,69,Online Payment
339,48,Clothing,445.36,3,2023-02-25,19,Cash
340,76,Electronics,468.5,7,2023-07-20,54,Debit Card
341,59,Sports,461.65,6,2023-03-05,56,Debit Card
342,86,Sports,410.97,9,2023-12-23,25,Credit Card
343,22,Electronics,347.24,9,2023-10-16,28,Online Payment
344,30,Sports,457.7,9,2023-02-14,25,Debit Card
345,38,Books,359.95,7,2023-05-16,43,Debit Card
346,51,Books,477.43,9,2023-07-08,36,Credit Card
347,54,Books,22.15,7,2023-04-01,45,Debit Card
348,8,Books,461.6,9,2023-08-03,21,Cash
349,27,Groceries,282.31,2,2023-08-27,28,Debit Card
350,27,Clothing,64.78,2,2023-08-07,51,Cash
351,98,Electronics,115.31,7,2023-07-25,28,Debit Card
352,21,Groceries,427.56,6,2023-08-10,19,Online Payment
353,30,Books,258.0,6,2023-10-27,24,Online Payment
354,97,Electronics,491.58,5,2023-11-19,28,Debit Card
355,28,Clothing,67.59,1,2023-12-17,66,Online Payment
356,64,Sports,212.13,7,2023-02-12,45,Debit Card
357,97,Groceries,172.62,2,2023-12-04,23,Credit Card
358,69,Clothing,262.91,8,2023-03-13,54,Credit Card
359,61,Electronics,320.38,7,2023-03-10,36,Debit Card
360,48,Home Goods,334.2,2,2023-06-26,53,Credit Card
361,19,Groceries,10.63,2,2023-03-14,60,Online Payment
362,4,Electronics,53.59,8,2023-05-21,49,Credit Card
363,35,Electronics,27.18,5,2023-12-26,62,Online Payment
364,64,Clothing,433.65,8,2023-09-04,52,Online Payment
365,49,Electronics,163.51,1,2023-12-08,44,Debit Card
366,17,Groceries,189.86,9,2023-11-23,41,Online Payment
367,44,Books,230.68,8,2023-09-14,66,Online Payment
368,92,Groceries,426.16,6,2023-03-20,40,Cash
369,30,Electronics,16.94,8,2023-02-12,29,Debit Card
370,93,Clothing,68.12,1,2023-10-28,27,Debit Card
371,46,Groceries,345.73,8,2023-01-18,55,Debit Card
372,6,Home Goods,482.31,1,2023-05-10,24,Credit Card
373,99,Books,324.97,4,2023-03-19,59,Online Payment
374,37,Sports,137.95,3,2023-09-14,24,Online Payment
375,24,Clothing,264.73,3,2023-08-21,60,Cash
376,93,Clothing,487.74,9,2023-09-19,31,Debit Card
377,46,Sports,268.76,8,2023-10-01,35,Online Payment
378,53,Sports,193.02,8,2023-10-11,54,Cash
379,95,Groceries,197.88,7,2023-10-19,38,Online Payment
380,99,Electronics,483.85,8,2023-04-28,53,Debit Card
381,60,Electronics,362.27,8,2023-12-27,58,Cash
382,97,Home Goods,346.71,6,2023-07-26,34,Credit Card
383,63,Books,123.71,8,2023-06-24,31,Cash
384,85,Electronics,284.15,2,2023-03-03,55,Cash
385,32,Home Goods,184.81,7,2023-03-15,68,Cash
386,87,Home Goods,127.7,3,2023-11-05,30,Cash
387,33,Clothing,448.82,8,2023-01-21,25,Cash
388,67,Clothing,197.75,5,2023-01-12,24,Online Payment
389,18,Books,148.57,5,2023-01-08,67,Cash
390,25,Groceries,466.54,3,2023-04-01,29,Cash
391,95,Sports,106.7,1,2023-01-24,57,Debit Card
392,54,Sports,375.3,2,2023-10-06,63,Cash
393,58,Books,329.85,2,2023-01-13,50,Online Payment
394,67,Home Goods,461.04,7,2023-04-05,19,Cash
395,46,Books,417.7,2,2023-01-07,34,Online Payment
396,24,Sports,355.59,7,2023-09-15,62,Cash
397,32,Home Goods,164.14,1,2023-11-16,46,Debit Card
398,47,Sports,252.83,2,2023-03-03,38,Online Payment
399,86,Groceries,472.8,7,2023-01-17,28,Online Payment
400,23,Clothing,21.37,7,2023-06-01,49,Cash
401,66,Clothing,399.22,2,2023-01-09,35,Online Payment
402,27,Home Goods,133.39,7,2023-07-02,49,Cash
403,2,Books,100.66,9,2023-01-21,64,Debit Card
404,90,Sports,123.79,8,2023-12-26,42,Debit Card
405,17,Electronics,39.28,6,2023-06-15,52,Debit Card
406,33,Groceries,496.07,4,2023-02-27,69,Credit Card
407,9,Sports,436.24,3,2023-02-07,66,Cash
408,43,Electronics,265.32,8,2023-08-23,28,Debit Card
409,48,Groceries,360.4,3,2023-04-05,53,Online Payment
410,39,Groceries,282.73,5,2023-10-16,28,Debit Card
411,93,Clothing,407.67,3,2023-08-04,47,Cash
412,42,Home Goods,423.93,9,2023-05-21,66,Credit Card
413,26,Sports,124.07,7,2023-09-06,25,Cash
414,99,Groceries,235.28,3,2023-11-22,24,Debit Card
415,50,Sports,321.08,7,2023-07-06,28,Cash
416,25,Groceries,489.44,4,2023-07-05,27,Cash
417,24,Books,344.52,1,2023-02-11,36,Online Payment
418,13,Clothing,449.84,4,2023-10-22,55,Credit Card
419,60,Home Goods,424.59,8,2023-07-19,25,Online Payment
420,7,Electronics,295.21,6,2023-04-03,22,Debit Card
421,57,Electronics,447.89,1,2023-06-18,30,Cash
422,36,Books,194.94,1,2023-10-01,35,Credit Card
423,45,Clothing,195.85,4,2023-12-13,69,Online Payment
424,20,Groceries,392.67,6,2023-07-01,46,Credit Card
425,65,Clothing,75.93,4,2023-08-17,22,Debit Card
426,8,Home Goods,159.85,9,2023-12-03,35,Debit Card
427,16,Electronics,308.2,2,2023-02-17,61,Credit Card
428,14,Sports,215.83,6,2023-12-15,66,Credit Card
429,76,Electronics,470.95,7,2023-01-17,62,Debit Card
430,87,Home Goods,479.67,4,2023-04-07,54,Credit Card
431,15,Groceries,256.26,5,2023-08-06,65,Debit Card
432,92,Clothing,274.14,5,2023-10-24,56,Debit Card
433,98,Electronics,365.07,2,2023-06-11,46,Credit Card
434,66,Electronics,234.06,5,2023-07-24,47,Debit Card
435,32,Sports,103.15,5,2023-04-19,42,Debit Card
436,87,Clothing,376.01,5,2023-09-05,37,Online Payment
437,63,Sports,371.52,4,2023-03-04,63,Debit Card
438,86,Sports,130.04,4,2023-01-07,42,Debit Card
439,51,Groceries,418.13,7,2023-05-20,60,Debit Card
440,25,Electronics,310.69,6,2023-06-16,50,Credit Card
441,58,Books,125.79,8,2023-01-19,26,Online Payment
442,63,Clothing,329.5,1,2023-05-22,63,Online Payment
443,62,Groceries,124.47,2,2023-01-26,48,Debit Card
444,22,Books,139.96,2,2023-11-16,21,Online Payment
445,58,Groceries,425.52,2,2023-04-09,51,Cash
446,58,Groceries,465.45,3,2023-09-17,23,Online Payment
447,86,Home Goods,135.87,6,2023-06-09,30,Cash
448,49,Home Goods,464.75,3,2023-01-05,33,Credit Card
449,52,Groceries,127.01,7,2023-12-10,68,Online Payment
450,42,Home Goods,67.46,3,2023-05-04,28,Debit Card
451,70,Clothing,38.53,6,2023-06-28,30,Debit Card
452,15,Electronics,128.64,2,2023-10-11,23,Credit Card
453,54,Books,198.77,2,2023-06-15,31,Debit Card
454,60,Clothing,464.5,3,2023-05-06,66,Cash
455,97,Electronics,128.66,8,2023-06-19,49,Debit Card
456,8,Home Goods,189.08,9,2023-07-22,37,Online Payment
457,53,Books,369.74,2,2023-01-26,58,Credit Card
458,60,Clothing,158.02,7,2023-02-03,46,Cash
459,5,Sports,345.34,1,2023-01-12,55,Debit Card
460,68,Groceries,221.72,4,2023-10-02,42,Credit Card
461,6,Electronics,106.26,6,2023-12-06,67,Cash
462,96,Electronics,369.69,7,2023-03-03,29,Online Payment
463,94,Sports,23.25,3,2023-08-22,45,Credit Card
464,47,Sports,153.24,3,2023-02-09,40,Debit Card
465,99,Groceries,184.53,5,2023-10-10,61,Debit Card
466,55,Home Goods,234.53,3,2023-01-24,47,Debit Card
467,40,Clothing,343.14,9,2023-02-19,44,Cash
468,52,Clothing,235.11,2,2023-05-10,41,Credit Card
469,16,Clothing,301.22,7,2023-02-08,46,Debit Card
470,13,Home Goods,301.93,7,2023-03-27,33,Online Payment
471,30,Groceries,192.9,3,2023-12-04,21,Debit Card
472,19,Clothing,467.65,8,2023-09-06,68,Debit Card
473,17,Electronics,478.37,3,2023-03-24,40,Online Payment
474,63,Electronics,295.11,5,2023-01-17,53,Debit Card
475,19,Electronics,45.13,1,2023-01-11,64,Credit Card
476,92,Sports,250.65,4,2023-10-08,37,Debit Card
